name='Spiez', id=8507483, x='46.686394', y='7.680095'
name='Spreitenbach', id=8590268, x='47.414205', y='8.379519'
name='Splügen', id=8509884, x='46.552652', y='9.3206'
name='Stäfa', id=8503107, x='47.240525', y='8.721631'
name='Stans', id=8508391, x='46.958318', y='8.366736'
name='Steckborn', id=8506136, x='47.664501', y='8.981005'
name='Steffisburg', id=8508251, x='46.772915', y='7.615022'
name='Stein am Rhein', id=8500320, x='47.541601', y='7.948819'
name='Sursee', id=8502007, x='47.170787', y='8.097878'
name='Thalwil', id=8503202, x='47.29597', y='8.564751'
name='Thônex', id=8593112, x='46.193237', y='6.200911'
name='Thun', id=8507100, x='46.754856', y='7.629594'
name='Thusis', id=8509189, x='46.698197', y='9.440498'
name='Unterseen', id=8579177, x='46.684992', y='7.847771'
name='Uznach', id=8503116, x='47.224272', y='8.980673'
name='Uster', id=8503125, x='47.350364', y='8.718691'
name='Uzwil', id=8506208, x='47.436445', y='9.130972'
name='Valangin', id=8579602, x='47.015651', y='6.906367'
name='Vernier', id=8501007, x='46.220708', y='6.093895'
name='Versoix', id=8501022, x='46.279713', y='6.165746'
name='Vevey', id=8501200, x='46.462994', y='6.843451'
name='Villeneuve', id=8501303, x='46.398361', y='6.926997'
name='Visp', id=8501605, x='46.294024', y='7.881454'
name='Volketswil', id=8503150, x='47.389584', y='8.693216'
name='Wädenswil', id=8503206, x='47.229297', y='8.675192'
name='Waldenburg', id=8500087, x='47.386285', y='7.748845'
name='Walenstadt', id=8509414, x='47.119872', y='9.312968'
name='Wallisellen', id=8503129, x='47.412713', y='8.591907'
name='Wangen an der Aare', id=8500216, x='47.341402', y='7.868347'
name='Werdenberg', id=8574039, x='47.168548', y='9.463609'
name='Wettingen', id=8503505, x='47.459637', y='8.315983'
name='Wetzikon', id=8503123, x='47.31803', y='8.792268'
name='Wiedlisbach', id=8500287, x='47.252885', y='7.646098'
name='Wil', id=8506206, x='47.462406', y='9.040981'
name='Willisau', id=8508295, x='47.122559', y='7.997064'
name='Winterthur', id=8506000, x='47.500331', y='8.723797'
name='Wohlen', id=8502213, x='47.348458', y='8.269779'
name='Worb', id=8507063, x='46.929984', y='7.562472'
name='Yverdon-les-Bains', id=8504200, x='46.781877', y='6.64114'
name='Zofingen', id=8502001, x='47.288042', y='7.943093'
name='Zollikon', id=8503100, x='47.33733', y='8.569713'
name='Zug', id=8502204, x='47.173627', y='8.515292'
name='Zurich', id=8503000, x='47.378177', y='8.540192'
name='Zurzach', id=8503594, x='47.576119', y='8.277267'
